,Average Absolute Difference %,Average Net Difference %,Eight Count,Eight Count Difference %,Eight Count Expectation %,Eight Count Result %,Five Count,Five Count Difference %,Five Count Expectation %,Five Count Result %,Four Count,Four Count Difference %,Four Count Expectation %,Four Count Result %,Nine Count,Nine Count Difference %,Nine Count Expectation %,Nine Count Result %,One Count,One Count Difference %,One Count Expectation %,One Count Result %,Seven Count,Seven Count Difference %,Seven Count Expectation %,Seven Count Result %,Six Count,Six Count Difference %,Six Count Expectation %,Six Count Result %,State,Three Count,Three Count Difference %,Three Count Expectation %,Three Count Result %,Total,Two Count,Two Count Difference %,Two Count Expectation %,Two Count Result %,diff_count,diff_sum
16,31.76,-4.05,2.0,-50.44,4.58,2.27,7.0,14.39,6.95,7.95,5.0,-33.49,8.54,5.68,3.0,-15.8,4.05,3.41,33.0,41.56,26.49,37.5,4.0,-10.78,5.1,4.55,4.0,-22.88,5.9,4.55,Ohio,7.0,-27.73,11.0,7.95,88,23.0,68.75,15.49,26.14,9,-36.42
17,47.37,32.21,1.0,-57.18,3.48,1.49,4.0,12.85,5.29,5.97,4.0,-8.15,6.5,5.97,2.0,-2.92,3.08,2.99,24.0,77.59,20.17,35.82,3.0,15.17,3.89,4.48,7.0,132.74,4.49,10.45,Pennsylvania,8.0,42.48,8.38,11.94,67,14.0,77.27,11.79,20.9,9,289.84999999999997
18,102.19,101.64,4.0,264.02,2.39,8.7,2.0,19.83,3.63,4.35,2.0,-2.47,4.46,4.35,1.0,2.36,2.12,2.17,20.0,213.94,13.85,43.48,4.0,225.84,2.67,8.7,2.0,41.23,3.08,4.35,South Carolina,5.0,89.04,5.75,10.87,46,6.0,60.99,8.1,13.04,9,914.78
19,64.21,57.73,4.0,36.67,3.9,5.33,8.0,80.24,5.92,10.67,9.0,64.84,7.28,12.0,3.0,15.94,3.45,4.0,12.0,-29.14,22.58,16.0,7.0,114.48,4.35,9.33,10.0,165.01,5.03,13.33,Arkansas,12.0,70.58,9.38,16.0,75,10.0,0.98,13.2,13.33,9,519.6
20,257.13,257.13,2.0,356.95,1.51,6.9,4.0,502.18,2.29,13.79,4.0,390.75,2.81,13.79,1.0,159.4,1.33,3.45,9.0,255.44,8.73,31.03,1.0,105.36,1.68,3.45,2.0,255.67,1.94,6.9,Utah,3.0,185.64,3.62,10.34,29,3.0,102.75,5.1,10.34,9,2314.14
21,41.59,22.27,9.0,76.5,5.15,9.09,9.0,16.24,7.82,9.09,16.0,68.33,9.6,16.16,6.0,33.19,4.55,6.06,22.0,-25.44,29.8,22.22,8.0,40.77,5.74,8.08,10.0,52.34,6.63,10.1,Iowa,12.0,-2.1,12.38,12.12,99,7.0,-59.41,17.42,7.07,9,200.42000000000002
22,60.27,-60.27,16.0,-52.31,13.21,6.3,21.0,-58.79,20.07,8.27,28.0,-55.28,24.64,11.02,12.0,-59.59,11.68,4.72,84.0,-56.74,76.45,33.07,16.0,-57.23,14.73,6.3,14.0,-67.63,17.02,5.51,Texas,27.0,-66.52,31.75,10.63,254,36.0,-68.3,44.7,14.17,9,-542.39
23,354.28,354.28,2.0,566.4,1.25,8.33,,,,,4.0,615.45,2.33,16.67,1.0,279.09,1.1,4.17,7.0,304.02,7.22,29.17,1.0,200.0,1.39,4.17,1.0,159.01,1.61,4.17,Maryland,3.0,316.67,3.0,12.5,24,5.0,393.6,4.22,20.83,8,2834.2400000000002
24,30.75,1.5,2.0,-57.29,4.94,2.11,9.0,26.27,7.5,9.47,8.0,-8.68,9.22,8.42,3.0,-27.69,4.37,3.16,32.0,17.76,28.6,33.68,9.0,71.87,5.51,9.47,7.0,15.88,6.36,7.37,Tennessee,7.0,-37.96,11.88,7.37,95,18.0,13.34,16.72,18.95,9,13.500000000000004
25,66.41,57.58,2.0,-25.67,3.74,2.78,5.0,21.97,5.69,6.94,5.0,-0.57,6.98,6.94,7.0,193.66,3.31,9.72,19.0,21.78,21.67,26.39,11.0,265.55,4.18,15.28,3.0,-13.49,4.82,4.17,Wisconsin,8.0,23.44,9.0,11.11,72,12.0,31.57,12.67,16.67,9,518.24
26,463.15,463.15,,,,,1.0,186.75,1.66,4.76,2.0,366.67,2.04,9.52,,,,,6.0,352.06,6.32,28.57,2.0,680.33,1.22,9.52,,,,,New Jersey,2.0,263.36,2.62,9.52,21,8.0,929.73,3.7,38.1,6,2778.9
27,67.52,59.0,4.0,100.31,3.22,6.45,2.0,-34.08,4.9,3.23,4.0,7.32,6.01,6.45,,,,,21.0,81.51,18.66,33.87,3.0,34.44,3.6,4.84,4.0,55.42,4.15,6.45,New York,12.0,149.68,7.75,19.35,62,12.0,77.36,10.91,19.35,8,471.96000000000004
28,78.5,61.39,8.0,243.1,3.48,11.94,3.0,-15.31,5.29,4.48,6.0,37.85,6.5,8.96,4.0,93.83,3.08,5.97,22.0,62.82,20.17,32.84,1.0,-61.7,3.89,1.49,8.0,165.92,4.49,11.94,Alabama,7.0,24.7,8.38,10.45,67,8.0,1.27,11.79,11.94,9,552.48
29,156.14,156.14,3.0,197.82,2.29,6.82,8.0,422.41,3.48,18.18,5.0,166.04,4.27,11.36,,,,,12.0,105.97,13.24,27.27,2.0,78.43,2.55,4.55,2.0,54.24,2.95,4.55,Idaho,6.0,148.0,5.5,13.64,44,6.0,76.23,7.74,13.64,8,1249.14
30,36.88,11.48,6.0,36.4,4.78,6.52,6.0,-10.32,7.27,6.52,5.0,-39.13,8.92,5.43,6.0,54.14,4.23,6.52,36.0,41.31,27.69,39.13,8.0,62.92,5.34,8.7,5.0,-11.85,6.16,5.43,Indiana,13.0,22.87,11.5,14.13,92,7.0,-53.0,16.19,7.61,9,103.34
31,49.17,39.08,3.0,36.69,3.38,4.62,2.0,-40.08,5.14,3.08,5.0,21.87,6.31,7.69,2.0,3.01,2.99,3.08,24.0,88.75,19.56,36.92,5.0,103.98,3.77,7.69,4.0,41.06,4.36,6.15,South Dakota,5.0,-5.3,8.12,7.69,65,15.0,101.75,11.44,23.08,9,351.73
